POZO,FECHA,AGUA_INYECTADA,PIA
well_11,1/09/2018,1659,753
well_11,2/09/2018,1665,764
well_11,3/09/2018,1745,784
well_11,4/09/2018,1645,864
well_11,5/09/2018,1762,834
well_11,6/09/2018,1359,778
well_11,7/09/2018,741,768
well_11,8/09/2018,246,628
well_11,9/09/2018,968,730
well_11,10/09/2018,0,0
well_11,11/09/2018,660,775
well_11,12/09/2018,1104,511
well_11,13/09/2018,10,5
well_11,14/09/2018,1538,668
well_11,15/09/2018,1443,684
well_11,16/09/2018,1563,697
well_11,17/09/2018,1620,726
well_11,18/09/2018,1666,788
well_11,19/09/2018,1566,674
well_11,20/09/2018,1754,786
well_11,21/09/2018,1573,742
well_11,22/09/2018,1695,818
well_11,23/09/2018,1610,755
well_11,24/09/2018,1640,778
well_11,25/09/2018,1913,939
well_11,26/09/2018,2183,1071
well_11,27/09/2018,2151,1079
well_11,28/09/2018,2126,1116
well_11,29/09/2018,2109,1116
well_11,30/09/2018,2129,1137
well_11,1/10/2018,2104,1140
well_11,2/10/2018,2143,1124
well_11,3/10/2018,2146,1111
well_11,4/10/2018,1331,737
well_11,5/10/2018,1169,556
well_11,6/10/2018,2048,1033
well_11,7/10/2018,2174,1058
well_11,8/10/2018,2124,1093
well_11,9/10/2018,2121,1117
well_11,10/10/2018,1987,1110
well_11,11/10/2018,2208,1167
well_11,12/10/2018,2200,1104
well_11,13/10/2018,2233,1159
well_11,14/10/2018,2194,1164
well_11,15/10/2018,2104,1133
well_11,16/10/2018,2148,1150
well_11,17/10/2018,2130,1128
well_11,18/10/2018,2134,1143
well_11,19/10/2018,1507,889
well_11,20/10/2018,2105,1171
well_11,21/10/2018,2128,1195
well_11,22/10/2018,2097,1042
well_11,23/10/2018,943,890
well_11,24/10/2018,1276,669
well_11,25/10/2018,2134,1100
well_11,26/10/2018,1975,1045
well_11,27/10/2018,2053,1085
well_11,28/10/2018,2101,1063
well_11,29/10/2018,2206,1150
well_11,30/10/2018,2047,1070
well_11,31/10/2018,2149,1216
well_11,1/11/2018,2093,1166
well_11,2/11/2018,1985,1177
well_11,3/11/2018,2124,1206
well_11,4/11/2018,2092,1178
well_11,5/11/2018,2152,1196
well_11,6/11/2018,2234,1164
well_11,7/11/2018,2285,1085
well_11,8/11/2018,2268,1093
well_11,9/11/2018,2263,1105
well_11,10/11/2018,2278,1090
